id,category,question,answer
275,Subscription,How do I add additional seats to a team subscription?,Go to Subscription Settings > Manage Seats and increase the seat count; billing updates automatically.
276,Subscription,How do I remove seats from a team subscription?,Open Subscription Settings > Manage Seats and reduce the count; changes apply at the next billing cycle.
277,Subscription,Will I be charged again if I cancel during my free trial?,"No, canceling before the trial ends means you won't be charged anything."
278,Subscription,How do I find my subscription renewal date?,Your next renewal date is listed under Subscription Settings > Plan Details.
279,Subscription,Can I get a refund after canceling my subscription?,Refunds after cancellation follow our standard refund policy based on unused time remaining.
280,Subscription,What features do I lose if I downgrade my plan?,Downgrading removes premium-only features like advanced analytics and priority support at the next cycle.
281,Subscription,How do I gift a subscription to someone else?,Go to Subscription Settings > Gift a Subscription and enter the recipient's email address.
282,Subscription,Can I redeem a gift subscription code?,"Yes, enter the gift code at Subscription Settings > Redeem Code to activate it on your account."
283,Subscription,How do I switch from an individual plan to a team plan?,Go to Subscription Settings > Upgrade to Team and invite members after the switch completes.
284,Subscription,What happens to my team's data if I cancel a team subscription?,"Team data is retained for 90 days, after which it may be permanently deleted."
285,Subscription,How do I change the plan owner on a team subscription?,Go to Subscription Settings > Team Roles and transfer the owner role to another admin.
286,Subscription,Can I try a higher-tier plan before committing?,"Yes, most plans include a 14-day trial of premium features accessible from Subscription Settings."
287,Subscription,How do I see a comparison of all available plans?,Visit the Pricing page or Subscription Settings > Compare Plans for a full feature breakdown.
288,Subscription,Why was I charged the full price after my trial ended?,Trials automatically convert to a paid subscription unless canceled before the trial end date.
289,Subscription,How do I turn off trial-to-paid auto-conversion?,Disable 'Auto-Convert to Paid' under Subscription Settings before your trial period ends.
290,Subscription,Can students or educators get a discounted subscription?,"Yes, verify your academic status at Subscription Settings > Student Discount for reduced pricing."
291,Subscription,How do I apply for a nonprofit discount on my subscription?,Submit nonprofit verification documents through Subscription Settings > Nonprofit Discount.
292,Subscription,What happens if I exceed my plan's usage limits?,You'll receive a warning and be prompted to upgrade; some features may be temporarily restricted until you do.
293,Subscription,How do I view my current usage against my plan's limits?,Go to Subscription Settings > Usage to see real-time consumption versus your plan cap.
294,Subscription,Can I have two different subscriptions on one account?,"No, each account supports only one active subscription plan at a time."
295,Subscription,How do I move my subscription to a different account?,Contact support to manually transfer a subscription between accounts; this can't be done automatically.
296,Subscription,What is included in the enterprise subscription tier?,"Enterprise includes dedicated support, custom contracts, SSO, and advanced security controls."
297,Subscription,How do I contact sales about an enterprise subscription?,Go to Subscription Settings > Contact Sales or use the enterprise inquiry form on our website.
298,Subscription,Will my saved settings be lost if I switch plans?,"No, your settings and data remain intact regardless of which plan you're subscribed to."
299,Subscription,How do I set a reminder before my subscription renews?,Enable renewal reminders under Notification Preferences > Billing Alerts.
300,Subscription,Can I lock in my current price when a plan's cost increases?,Existing subscribers on annual plans are typically grandfathered at their current rate until the next renewal.
301,Subscription,How do I cancel a subscription I signed up for through the app store instead of the website?,"App store subscriptions must be canceled through your Apple ID or Google Play account settings, not our website."
302,Subscription,Why does my subscription show as active on the website but canceled in the app store?,There can be a sync delay of up to 24 hours between the app store and our billing system.
303,Subscription,How do I switch my subscription from the app store to direct billing?,"Cancel the app store subscription first, then resubscribe directly through Subscription Settings on the website."
304,Subscription,What happens to unused credits if I cancel my subscription?,Unused credits expire immediately upon cancellation and cannot be refunded.
305,Subscription,How do I check the terms of my subscription contract?,Your specific plan terms are available under Subscription Settings > Terms & Conditions.
306,Subscription,Can I negotiate custom terms for a large team subscription?,"Yes, teams over 50 seats can request custom terms through our sales team."
307,Subscription,How do I add a co-admin to manage my team's subscription?,Go to Subscription Settings > Team Roles > Add Admin and assign billing permissions.
308,Subscription,Why do I still see premium features after downgrading?,"Premium access remains until the end of your current billing period, even after downgrading."
309,Subscription,How do I check if my subscription includes priority customer support?,Priority support inclusion is listed under Subscription Settings > Plan Details > Support Level.
310,Subscription,Can I switch my subscription currency?,Subscription currency is tied to your account region and can only be changed by contacting support.
311,Subscription,How do I bundle my subscription with another product for a discount?,Check Subscription Settings > Bundles for available bundled pricing with partner products.
312,Subscription,What's the cancellation policy for annual subscriptions?,"Annual subscriptions can be canceled anytime, but refunds are prorated only within the first 30 days."
313,Subscription,How do I check if a promotional subscription rate has expired?,Promotional pricing details and expiration dates are shown under Subscription Settings > Plan Details.
314,Subscription,Can I subscribe to a plan not available in my region?,Plan availability is restricted by region due to local pricing and regulatory requirements.
315,Subscription,How do I get notified before a promotional rate ends?,Enable Billing Alerts under Notification Preferences to be notified 7 days before a promo rate expires.
316,Subscription,How do I check my subscription's data retention policy after downgrade?,Data retention terms per plan tier are listed under Subscription Settings > Data Policy.
317,Subscription,Can I reactivate a subscription plan that was discontinued?,"Discontinued plans generally can't be reactivated, but similar current plans are suggested automatically."
318,Subscription,How do I request an invoice for a subscription purchased via a reseller?,"Reseller invoices must be requested directly from the reseller, not through our billing system."
319,Subscription,How do I check if my subscription qualifies for a loyalty discount?,Loyalty discount eligibility appears automatically under Subscription Settings if you qualify after 12 months.
320,Subscription,What happens to add-ons if I downgrade my base plan?,Add-ons remain active and billed separately unless manually removed from Subscription Settings.
321,Subscription,How do I remove an add-on from my subscription?,Go to Subscription Settings > Add-ons and select Remove next to the specific add-on.
322,Subscription,Can I trial an add-on before purchasing it?,"Most add-ons include a 7-day trial, activated from Subscription Settings > Add-ons > Try Free."
323,Subscription,How do I check if my organization is on a legacy pricing plan?,Legacy plan status is shown under Subscription Settings > Plan Details with a 'Legacy' label if applicable.
324,Subscription,How do I request a custom SLA as part of my subscription?,Custom SLAs are available on enterprise plans; contact sales to include one in your contract.
