date,department,vendor,approved_by_employee,invoice_id,transaction_amount,payment_method,monthly_revenue_recorded,payroll_amount,fraud_pattern_label
2023-03-30,Operations,Gamma Logistics,EMP104,INV3138,10290,Card,43487,9468,None
2024-01-25,Finance,Zenith Corp,EMP104,INV2413,10493,Cash,13414,5158,None
2023-05-25,Operations,Gamma Logistics,EMP107,INV3882,15456,Bank Transfer,57792,3838,None
2023-11-28,Marketing,Alpha Supplies,EMP103,INV2410,10052,Cash,48803,6430,None
2023-07-04,HR,Delta Services,EMP103,INV2280,2104,Bank Transfer,49078,4178,Vendor Kickback
2023-06-18,HR,Delta Services,EMP102,INV3642,10163,Card,45025,6457,None
2023-04-14,Marketing,Delta Services,EMP101,INV2849,2148,Bank Transfer,53180,6666,None
2025-06-08,Marketing,Alpha Supplies,EMP106,INV3712,5747,Bank Transfer,29243,10312,None
2025-01-06,Operations,Beta Traders,EMP103,INV3722,18480,Cash,19954,6515,None
2023-06-09,Marketing,Rapid Parts,EMP103,INV3421,18382,Card,22986,4533,None
2023-04-28,Operations,Alpha Supplies,EMP107,INV3343,7396,Bank Transfer,215083,11590,Revenue Inflation
2023-04-06,Operations,Beta Traders,EMP104,INV3107,19633,Cash,23194,4448,None
2023-11-04,Finance,Alpha Supplies,EMP105,INV2705,543,Bank Transfer,19975,6184,None
2023-09-11,Operations,Gamma Logistics,EMP106,INV3613,4092,Bank Transfer,14549,7886,None
2023-06-15,IT,Om Industrial,EMP104,INV2081,1605,Bank Transfer,47960,11410,None
2023-12-28,HR,Alpha Supplies,EMP103,INV2736,5870,Card,53433,5780,None
2024-05-06,Operations,Gamma Logistics,EMP102,INV3800,3990,Bank Transfer,17672,6911,None
2023-09-09,Finance,Beta Traders,EMP105,INV2524,17106,Bank Transfer,22957,9011,None
2025-01-14,Finance,Zenith Corp,EMP105,INV2030,3612,Bank Transfer,13516,4732,None
2023-08-23,Marketing,Alpha Supplies,EMP107,INV2063,9156,Bank Transfer,35773,9946,None
2024-11-10,Marketing,Om Industrial,EMP102,INV3455,17308,Bank Transfer,26105,4018,None
2025-03-02,Operations,Delta Services,EMP103,INV3660,3252,Cash,48788,10565,Vendor Kickback
2023-04-01,Marketing,Zenith Corp,EMP102,INV3390,17257,Card,19911,5738,None
2024-12-03,Sales,Gamma Logistics,EMP106,INV2077,16219,Bank Transfer,44442,11148,None
2023-07-23,Sales,Zenith Corp,EMP106,INV2189,13979,Cash,48192,8721,None
2025-04-28,Sales,Rapid Parts,EMP103,INV3704,15774,Card,38529,5698,None
2025-02-04,HR,Om Industrial,EMP105,INV2139,4295,Card,59198,7128,None
2023-08-31,HR,Delta Services,EMP105,INV2802,2145,Card,51075,9468,None
2023-03-31,HR,Beta Traders,EMP106,INV3001,32248,Cash,29972,9989,Large Cash Payment
2024-02-25,IT,Om Industrial,EMP103,INV3116,11490,Bank Transfer,15445,6500,None
2023-04-01,HR,Gamma Logistics,EMP102,INV3353,78931,Cash,25842,11817,Large Cash Payment
2023-12-07,Marketing,Beta Traders,EMP103,INV3822,12019,Bank Transfer,30222,9461,None
2023-07-13,Marketing,Zenith Corp,EMP107,INV2018,17775,Cash,21491,3005,None
2024-11-23,HR,Alpha Supplies,EMP105,INV2276,12843,Card,53667,7150,None
2023-10-30,HR,Gamma Logistics,EMP103,INV3920,12816,Card,54338,11555,None
2023-01-19,HR,Alpha Supplies,EMP107,INV2772,18765,Bank Transfer,30391,10335,None
2023-02-05,Marketing,Gamma Logistics,EMP104,INV2295,9395,Bank Transfer,48505,6074,None
2024-08-26,HR,Rapid Parts,EMP103,INV3582,10041,Bank Transfer,11691,11917,None
2024-11-23,IT,Rapid Parts,EMP104,INV3414,12304,Card,31246,7546,None
2023-12-22,Finance,Beta Traders,EMP102,INV2630,5813,Bank Transfer,21185,11528,None
2025-03-06,Marketing,Gamma Logistics,EMP106,INV3825,10638,Cash,22933,10778,None
2023-11-24,IT,Delta Services,EMP107,INV2417,4185,Cash,42850,10376,None
2025-02-14,HR,Om Industrial,EMP104,INV3541,13991,Card,28047,4252,None
2025-05-21,Operations,Rapid Parts,EMP101,INV2084,884,Cash,55750,11719,None
2023-03-13,Finance,Om Industrial,EMP101,INV3708,14024,Card,30116,4823,None
2023-05-01,IT,Zenith Corp,EMP104,INV2819,11698,Card,42755,9431,None
2024-06-28,IT,Rapid Parts,EMP999,INV2273,9961,Card,32198,13700,Ghost Employee
2024-11-14,IT,Beta Traders,EMP105,INV3174,7510,Cash,54534,7486,None
2024-05-27,Sales,Alpha Supplies,EMP103,INV3799,12982,Card,18603,7710,None
2024-12-30,Finance,Alpha Supplies,EMP107,INV2559,17181,Card,24671,6491,None
2023-03-22,HR,Gamma Logistics,EMP101,INV3001,14000,Card,24312,8327,Duplicate Invoice
2023-03-02,Finance,Delta Services,EMP105,INV2081,1557,Card,40643,11812,None
2023-12-05,Marketing,Om Industrial,EMP105,INV3625,18738,Bank Transfer,28462,6423,None
2025-03-07,Finance,Beta Traders,EMP101,INV2766,14390,Cash,51288,4033,None
2024-02-23,Sales,Beta Traders,EMP106,INV2674,17917,Cash,14678,7124,None
2024-09-24,Operations,Delta Services,EMP102,INV2229,6723,Card,20850,9600,None
2024-03-25,HR,Zenith Corp,EMP102,INV3583,6946,Card,23184,7351,None
2023-01-24,Finance,Rapid Parts,EMP106,INV2128,1016,Card,23476,8798,None
2024-07-04,Operations,Gamma Logistics,EMP105,INV3157,5862,Card,33236,8172,None
2023-01-31,IT,Zenith Corp,EMP106,INV2218,11737,Bank Transfer,33847,5521,None
2025-03-24,Marketing,Gamma Logistics,EMP104,INV3153,17811,Bank Transfer,43288,7116,None
2023-07-17,Finance,Rapid Parts,EMP999,INV2329,13087,Cash,18770,9704,Ghost Employee
2024-04-19,Marketing,Zenith Corp,EMP101,INV3871,18004,Card,31192,4162,None
2023-07-30,Marketing,Alpha Supplies,EMP102,INV3803,13037,Cash,16426,4704,None
2024-10-13,IT,Rapid Parts,EMP106,INV3483,19183,Bank Transfer,40845,3880,None
2025-01-04,HR,Rapid Parts,EMP999,INV2242,5145,Cash,49260,13637,Ghost Employee
2025-03-17,Marketing,Delta Services,EMP103,INV2496,1754,Card,23115,4536,Vendor Kickback
2023-08-13,Sales,Zenith Corp,EMP106,INV3882,19441,Card,27233,9778,None
2025-02-16,Marketing,Rapid Parts,EMP101,INV2333,17837,Bank Transfer,31186,11390,None
2023-01-03,Sales,Alpha Supplies,EMP107,INV3029,3305,Card,15087,11806,None
2024-11-17,HR,Alpha Supplies,EMP105,INV2383,1288,Bank Transfer,40014,11306,None
2023-04-24,Finance,Om Industrial,EMP101,INV3387,12051,Card,15756,4540,None
2024-01-12,Operations,Gamma Logistics,EMP103,INV3001,14000,Cash,22584,8486,Duplicate Invoice
2024-06-16,IT,Delta Services,EMP104,INV3328,19325,Card,59715,6454,None
2025-01-03,HR,Rapid Parts,EMP101,INV3740,4924,Card,13592,10057,None
2023-09-16,Operations,Zenith Corp,EMP103,INV2782,11130,Bank Transfer,20625,4551,None
2025-02-19,Operations,Om Industrial,EMP107,INV3001,14000,Cash,45247,9757,Duplicate Invoice
2025-02-27,Marketing,Zenith Corp,EMP107,INV3001,14000,Cash,16871,5642,Duplicate Invoice
2023-05-05,Marketing,Delta Services,EMP102,INV3331,2249,Card,26053,11821,None
2024-10-08,Marketing,Alpha Supplies,EMP106,INV3546,9917,Bank Transfer,56812,3223,None
2024-03-24,Marketing,Om Industrial,EMP106,INV3542,9816,Card,26285,9404,None
2024-10-18,HR,Gamma Logistics,EMP105,INV2290,19870,Card,49181,4137,None
2024-07-02,Operations,Alpha Supplies,EMP101,INV3141,5160,Bank Transfer,57346,4849,None
2025-02-26,Sales,Delta Services,EMP102,INV2808,10434,Cash,55663,9700,None
2023-12-17,Marketing,Gamma Logistics,EMP107,INV3697,13213,Bank Transfer,16984,6706,None
2023-01-11,Sales,Zenith Corp,EMP102,INV3602,5678,Bank Transfer,53333,8111,None
2023-02-28,HR,Delta Services,EMP103,INV3195,19165,Bank Transfer,14066,6657,Vendor Kickback
2023-12-30,HR,Gamma Logistics,EMP105,INV2756,5033,Bank Transfer,34279,7122,None
2025-03-26,IT,Beta Traders,EMP103,INV3328,7839,Bank Transfer,24353,6177,None
2023-09-27,Sales,Zenith Corp,EMP101,INV3712,12867,Bank Transfer,25388,9051,None
2024-07-22,Sales,Rapid Parts,EMP104,INV2993,4359,Cash,21391,10856,None
2024-03-30,Operations,Delta Services,EMP102,INV2146,2377,Card,24575,11344,None
2025-05-28,Sales,Delta Services,EMP101,INV2114,17697,Cash,44179,6927,None
2024-04-16,Marketing,Zenith Corp,EMP106,INV3292,15344,Bank Transfer,16418,8207,None
2024-05-01,Marketing,Delta Services,EMP103,INV3285,856,Card,11603,11432,None
2025-03-02,Finance,Delta Services,EMP106,INV2297,12443,Bank Transfer,31103,9346,None
2023-07-06,Sales,Delta Services,EMP103,INV3846,15523,Card,39450,4342,Vendor Kickback
2023-07-16,Operations,Gamma Logistics,EMP106,INV3001,14000,Card,36344,4085,Duplicate Invoice
2023-03-09,Finance,Delta Services,EMP103,INV3377,16625,Card,50712,6477,None
2025-03-14,Marketing,Delta Services,EMP103,INV2833,1540,Cash,32489,5908,None
2025-05-07,Finance,Alpha Supplies,EMP102,INV2972,15381,Cash,56644,11976,None
2023-05-21,Finance,Om Industrial,EMP102,INV2343,2365,Cash,37711,6838,None
2024-11-08,Marketing,Beta Traders,EMP999,INV3981,9312,Card,16215,11372,Ghost Employee
2023-03-14,Marketing,Gamma Logistics,EMP107,INV2150,14265,Bank Transfer,34697,11673,None
2023-04-30,IT,Delta Services,EMP102,INV3200,17880,Card,44203,9054,None
2024-08-07,HR,Delta Services,EMP102,INV2843,8251,Cash,44331,9000,None
2023-08-06,Sales,Rapid Parts,EMP103,INV2696,16076,Cash,40507,5953,None
2023-08-01,IT,Om Industrial,EMP104,INV2759,8118,Bank Transfer,34909,8892,None
2023-08-09,Sales,Gamma Logistics,EMP101,INV3811,4956,Card,50369,9654,None
2024-08-13,Operations,Om Industrial,EMP103,INV2644,14826,Card,41568,5874,None
2023-04-30,Operations,Rapid Parts,EMP107,INV3299,7185,Card,56195,7072,None
2024-10-26,Sales,Gamma Logistics,EMP102,INV3740,15406,Card,22996,3747,None
2023-01-30,Sales,Alpha Supplies,EMP107,INV3425,3310,Bank Transfer,10257,7078,None
2023-08-31,Sales,Alpha Supplies,EMP101,INV3986,3399,Bank Transfer,19739,6249,None
2025-02-04,Operations,Delta Services,EMP107,INV3898,2301,Cash,27300,4375,None
2025-03-21,Operations,Zenith Corp,EMP106,INV3007,16941,Cash,22346,5311,None
2024-03-08,HR,Delta Services,EMP103,INV2637,8017,Bank Transfer,40962,4182,None
2025-04-03,Marketing,Delta Services,EMP103,INV3689,3557,Card,47029,10731,Vendor Kickback
2025-05-10,Marketing,Rapid Parts,EMP104,INV2867,16926,Cash,217212,11549,Revenue Inflation
2024-10-17,IT,Rapid Parts,EMP106,INV3846,6802,Card,23411,6013,None
2023-03-05,Operations,Beta Traders,EMP104,INV2812,10647,Card,44269,8168,None
2023-02-20,Marketing,Gamma Logistics,EMP105,INV3001,14000,Bank Transfer,40261,7016,Duplicate Invoice
2025-06-09,HR,Gamma Logistics,EMP106,INV2636,17842,Cash,16960,4227,None
2024-06-09,Operations,Beta Traders,EMP104,INV3577,14210,Cash,45060,9089,None
2024-04-11,Operations,Alpha Supplies,EMP106,INV3757,1724,Bank Transfer,14141,5112,None
2025-02-07,Operations,Rapid Parts,EMP107,INV2175,17532,Cash,35812,5372,None
2024-11-17,Sales,Beta Traders,EMP105,INV2647,2814,Card,44855,5686,None
2025-04-06,Operations,Delta Services,EMP106,INV3825,4539,Cash,40020,6978,None
2024-01-31,Marketing,Delta Services,EMP102,INV3553,9960,Card,35768,10622,None
2024-05-17,Finance,Alpha Supplies,EMP107,INV2056,8623,Cash,43608,7180,None
2023-06-26,Operations,Rapid Parts,EMP999,INV3350,6644,Card,13695,11083,Ghost Employee
2024-09-13,Operations,Alpha Supplies,EMP101,INV3677,10913,Bank Transfer,33975,7357,None
2023-08-21,IT,Alpha Supplies,EMP106,INV3547,19078,Card,52218,7003,None
2025-04-12,Finance,Gamma Logistics,EMP103,INV2779,11179,Card,30126,10159,None
2023-12-20,Operations,Zenith Corp,EMP102,INV3336,18279,Bank Transfer,45898,3786,None
2025-02-05,Marketing,Zenith Corp,EMP107,INV2739,11655,Card,153351,7085,Revenue Inflation
2023-03-14,IT,Om Industrial,EMP101,INV2406,2221,Card,51947,10570,None
2024-10-09,Operations,Om Industrial,EMP104,INV3513,10708,Cash,47569,8771,None
2024-04-01,HR,Delta Services,EMP101,INV2426,7313,Bank Transfer,45570,8936,None
2024-08-05,Finance,Alpha Supplies,EMP104,INV2048,14667,Card,38135,5146,None
2025-02-01,Marketing,Gamma Logistics,EMP101,INV2448,2393,Card,58336,9008,None
2023-07-26,Operations,Gamma Logistics,EMP103,INV3006,6621,Card,59294,11959,None
2025-05-01,Marketing,Om Industrial,EMP999,INV3864,1075,Bank Transfer,47296,13115,Ghost Employee
2025-05-21,Marketing,Rapid Parts,EMP106,INV3910,15652,Card,46697,5530,None
2023-05-20,Operations,Om Industrial,EMP999,INV2478,9544,Card,24184,11786,Ghost Employee
2025-01-04,Marketing,Beta Traders,EMP106,INV2475,8876,Card,21498,11465,None
2025-01-08,HR,Rapid Parts,EMP999,INV3455,19969,Cash,27861,9707,Ghost Employee
2025-06-08,Finance,Alpha Supplies,EMP107,INV2291,14100,Card,40144,8241,None
2025-01-08,Marketing,Beta Traders,EMP102,INV2730,13939,Bank Transfer,29869,10143,None
2024-08-26,Finance,Gamma Logistics,EMP101,INV2855,6516,Cash,38824,10859,None
2024-04-28,Marketing,Om Industrial,EMP105,INV2477,6044,Card,33054,4200,None
2024-03-11,HR,Gamma Logistics,EMP103,INV3321,13342,Card,245480,5495,Revenue Inflation
2024-06-05,HR,Rapid Parts,EMP106,INV3269,14674,Cash,20254,7886,None
2024-01-10,IT,Rapid Parts,EMP107,INV3170,19833,Cash,32286,6599,None
2023-05-20,Finance,Zenith Corp,EMP101,INV2902,16216,Cash,28001,11121,None
2024-10-16,Operations,Delta Services,EMP101,INV3248,13185,Cash,11098,7269,None
2023-10-10,IT,Gamma Logistics,EMP103,INV2044,12862,Bank Transfer,22658,4240,None
2023-08-13,Operations,Alpha Supplies,EMP104,INV3939,4009,Bank Transfer,46103,5357,None
2025-05-07,HR,Beta Traders,EMP101,INV2864,13140,Cash,51259,4526,None
2023-02-27,Sales,Beta Traders,EMP101,INV3450,11241,Bank Transfer,17362,5760,None
2023-07-22,IT,Gamma Logistics,EMP101,INV2837,13308,Cash,39239,7150,None
2023-07-04,Operations,Delta Services,EMP103,INV2912,2431,Card,50776,11687,Vendor Kickback
2024-08-12,IT,Alpha Supplies,EMP104,INV3352,11542,Bank Transfer,43512,9486,None
2023-05-26,HR,Delta Services,EMP102,INV3414,5632,Cash,197442,3075,Revenue Inflation
2024-11-16,IT,Beta Traders,EMP105,INV2683,13895,Card,48015,10857,None
2023-10-03,HR,Beta Traders,EMP107,INV3187,640,Card,30858,8346,None
2024-08-10,IT,Zenith Corp,EMP105,INV3007,3218,Cash,19770,3760,None
2024-12-22,Finance,Alpha Supplies,EMP101,INV2770,3871,Bank Transfer,17450,7532,None
2023-03-25,HR,Rapid Parts,EMP104,INV2073,3697,Cash,57304,11091,None
2024-06-04,IT,Om Industrial,EMP105,INV2934,9597,Card,36296,8205,None
2025-05-06,HR,Beta Traders,EMP107,INV3232,2253,Cash,58296,11862,None
2025-04-14,IT,Om Industrial,EMP101,INV2177,1337,Cash,12255,4340,None
2025-05-10,Marketing,Om Industrial,EMP102,INV3321,4435,Card,42777,6046,None
2025-05-28,Operations,Zenith Corp,EMP102,INV2452,2496,Cash,50164,5639,None
2024-03-30,IT,Beta Traders,EMP101,INV3396,10748,Cash,58806,3990,None
2023-09-23,HR,Beta Traders,EMP105,INV2651,18657,Bank Transfer,20993,9637,None
2024-07-30,Finance,Gamma Logistics,EMP101,INV2672,19812,Cash,32466,5656,None
2024-08-19,IT,Gamma Logistics,EMP103,INV2364,18439,Card,11878,8142,None
2024-01-14,HR,Om Industrial,EMP107,INV2984,12372,Card,45601,6240,None
2023-07-14,HR,Gamma Logistics,EMP103,INV2131,19720,Bank Transfer,10644,9889,None
2025-02-10,HR,Zenith Corp,EMP102,INV3897,9894,Bank Transfer,156454,4650,Revenue Inflation
2023-03-31,Finance,Gamma Logistics,EMP999,INV3055,789,Card,32939,10660,Ghost Employee
2023-07-03,Sales,Zenith Corp,EMP999,INV2547,4485,Bank Transfer,31200,13887,Ghost Employee
2025-04-30,Sales,Rapid Parts,EMP104,INV3053,9360,Card,38037,5423,None
2024-03-13,HR,Om Industrial,EMP105,INV2761,5779,Cash,46127,8987,None
2023-06-05,Finance,Beta Traders,EMP101,INV2633,5744,Bank Transfer,47166,11237,None
2023-01-16,Marketing,Rapid Parts,EMP101,INV2484,5103,Cash,25853,3094,None
2024-03-15,Sales,Gamma Logistics,EMP104,INV2926,2103,Bank Transfer,25652,11242,None
2023-03-26,Sales,Zenith Corp,EMP103,INV2867,3083,Cash,14862,8054,None
2023-11-29,Finance,Alpha Supplies,EMP106,INV3202,5938,Cash,42621,3744,None
2023-03-01,Sales,Gamma Logistics,EMP105,INV2209,2065,Cash,58660,11534,None
2023-09-23,Sales,Rapid Parts,EMP104,INV2007,15805,Bank Transfer,53375,6649,None
2024-01-09,Operations,Gamma Logistics,EMP102,INV2455,11319,Card,36263,3620,None
2023-02-28,Operations,Om Industrial,EMP102,INV2783,3772,Card,54593,11229,None
2025-04-08,Sales,Delta Services,EMP103,INV2259,16016,Card,14398,5315,None
2024-08-15,HR,Rapid Parts,EMP101,INV3642,4199,Bank Transfer,25730,8276,None
2024-12-13,IT,Zenith Corp,EMP103,INV2331,9574,Card,38700,10172,None
2023-08-29,HR,Delta Services,EMP103,INV2235,48175,Cash,16026,9235,Large Cash Payment
2024-08-27,HR,Gamma Logistics,EMP107,INV2905,19775,Card,22880,11735,None
2023-12-30,Finance,Om Industrial,EMP105,INV3350,9590,Bank Transfer,18433,11239,None
2024-06-28,Sales,Gamma Logistics,EMP103,INV3599,15110,Card,43907,9143,None
2024-07-11,IT,Gamma Logistics,EMP103,INV3676,1543,Card,41626,7207,None
2024-12-27,Operations,Gamma Logistics,EMP104,INV3501,12308,Bank Transfer,25322,6397,None
2024-01-11,Operations,Rapid Parts,EMP101,INV3001,14000,Card,36845,8908,Duplicate Invoice
2023-11-09,Marketing,Zenith Corp,EMP107,INV2967,11540,Cash,57162,4778,None
2024-05-13,Marketing,Alpha Supplies,EMP106,INV3776,14266,Cash,28911,10196,None
2023-10-15,Marketing,Alpha Supplies,EMP106,INV3744,1702,Cash,13532,5835,None
2023-10-06,IT,Delta Services,EMP105,INV2041,8864,Card,35562,9421,None
2023-11-25,HR,Gamma Logistics,EMP102,INV2423,6674,Bank Transfer,47972,3333,None
2025-05-25,Marketing,Zenith Corp,EMP102,INV3001,14000,Cash,17948,8275,Duplicate Invoice
2023-05-06,IT,Beta Traders,EMP102,INV3874,14146,Cash,11008,8950,None
2023-09-07,Marketing,Gamma Logistics,EMP105,INV3064,1743,Cash,236951,7976,Revenue Inflation
2023-08-22,Marketing,Om Industrial,EMP105,INV3123,15884,Card,20472,9344,None
2024-03-26,IT,Delta Services,EMP103,INV2138,570,Bank Transfer,15962,4531,Vendor Kickback
2024-12-19,Operations,Gamma Logistics,EMP105,INV2205,6045,Card,44595,11365,None
2025-06-17,Operations,Delta Services,EMP103,INV3153,18825,Card,28611,7488,None
2024-01-10,HR,Delta Services,EMP999,INV2672,5007,Cash,32191,14427,Ghost Employee
2023-07-22,IT,Rapid Parts,EMP105,INV2529,13800,Cash,21292,6812,None
2023-01-30,Operations,Delta Services,EMP102,INV3383,13655,Card,42572,3691,None
2023-06-28,Operations,Rapid Parts,EMP102,INV2278,16941,Card,53165,5812,None
2024-05-09,Sales,Rapid Parts,EMP105,INV2632,9469,Bank Transfer,54474,7931,None
2025-05-03,IT,Beta Traders,EMP106,INV3160,10977,Card,59356,5068,None
2023-03-02,Sales,Rapid Parts,EMP101,INV3212,1587,Card,57716,11391,None
2024-06-17,Finance,Alpha Supplies,EMP101,INV2178,14918,Bank Transfer,44913,10437,None
2024-09-09,Operations,Alpha Supplies,EMP102,INV3862,2665,Cash,11472,4182,None
2025-01-22,Marketing,Alpha Supplies,EMP107,INV3132,9705,Cash,13860,3090,None
2024-09-19,Marketing,Om Industrial,EMP107,INV2950,18286,Cash,39880,9171,None
2024-06-06,HR,Beta Traders,EMP102,INV2093,13479,Cash,16224,6671,None
2023-01-28,HR,Om Industrial,EMP107,INV2821,12196,Card,20482,6436,None
2024-06-21,IT,Zenith Corp,EMP102,INV3987,15961,Bank Transfer,23737,11303,None
2025-04-11,Operations,Alpha Supplies,EMP103,INV2987,4471,Cash,34699,7618,None
2023-11-06,Marketing,Gamma Logistics,EMP107,INV3231,18605,Card,55920,5055,None
2024-11-25,IT,Delta Services,EMP107,INV2387,14812,Cash,20232,4650,None
2024-02-02,Sales,Gamma Logistics,EMP102,INV3721,19422,Bank Transfer,20567,6112,None
2025-05-06,Marketing,Alpha Supplies,EMP101,INV3821,1755,Cash,45252,4669,None
2024-08-09,Operations,Beta Traders,EMP106,INV2982,3917,Cash,52162,4068,None
2023-03-03,Sales,Zenith Corp,EMP105,INV2421,8639,Bank Transfer,26754,4377,None
2023-11-04,Operations,Delta Services,EMP102,INV2233,14051,Bank Transfer,10541,6661,None
2023-01-24,Operations,Beta Traders,EMP102,INV3550,10769,Bank Transfer,36984,9360,None
2024-09-25,HR,Zenith Corp,EMP105,INV3197,14822,Cash,59651,11697,None
2024-11-07,Marketing,Alpha Supplies,EMP105,INV3848,19335,Cash,46530,7015,None
2023-01-10,HR,Alpha Supplies,EMP103,INV3726,5671,Cash,40801,6156,None
2023-05-27,HR,Rapid Parts,EMP104,INV2044,10208,Bank Transfer,38942,9257,None
2023-02-19,Operations,Rapid Parts,EMP101,INV2626,10176,Bank Transfer,55117,11943,None
2023-11-03,HR,Alpha Supplies,EMP107,INV3261,6387,Cash,51725,9470,None
2024-03-30,IT,Delta Services,EMP101,INV3984,12954,Bank Transfer,31087,6274,None
2024-07-23,Sales,Gamma Logistics,EMP107,INV3334,1882,Card,27206,10355,None
2023-10-10,Finance,Gamma Logistics,EMP102,INV2871,6113,Card,27878,5435,None
2023-02-04,HR,Om Industrial,EMP999,INV2900,19706,Cash,16706,12075,Ghost Employee
2024-01-08,IT,Beta Traders,EMP107,INV2055,1017,Bank Transfer,43014,5475,None
2024-06-14,Operations,Alpha Supplies,EMP102,INV2515,14953,Cash,30496,6948,None
2024-02-23,Sales,Gamma Logistics,EMP105,INV2876,3791,Bank Transfer,47495,4048,None
2024-05-23,Finance,Gamma Logistics,EMP102,INV2576,1200,Cash,48383,10477,None
2024-06-12,Marketing,Delta Services,EMP103,INV2648,4266,Cash,43022,11335,None
2024-09-01,IT,Om Industrial,EMP102,INV3937,8927,Cash,18841,6342,None
2025-06-03,Operations,Rapid Parts,EMP102,INV2817,6856,Cash,21403,10578,None
2024-10-27,IT,Om Industrial,EMP106,INV3962,6762,Bank Transfer,35627,9423,None
2024-10-27,HR,Gamma Logistics,EMP104,INV3055,13601,Card,22315,9483,None
2024-07-23,Sales,Delta Services,EMP101,INV3464,2993,Bank Transfer,33554,5825,None
2023-11-16,Marketing,Om Industrial,EMP103,INV2348,6292,Card,20202,4451,None
2024-06-21,HR,Beta Traders,EMP999,INV3736,7828,Card,28913,12567,Ghost Employee
2023-08-14,Sales,Delta Services,EMP104,INV3610,12793,Cash,163047,3006,Revenue Inflation
2024-03-05,Finance,Om Industrial,EMP106,INV2918,8566,Bank Transfer,23954,7697,None
2023-05-08,Finance,Zenith Corp,EMP107,INV3658,19722,Bank Transfer,46030,10948,None
2023-12-21,Marketing,Delta Services,EMP102,INV3609,19279,Bank Transfer,49268,8502,None
2023-02-18,Finance,Om Industrial,EMP103,INV2682,1749,Bank Transfer,56293,7164,None
2024-03-16,IT,Zenith Corp,EMP105,INV2956,15631,Cash,17195,8205,None
2024-12-24,Marketing,Beta Traders,EMP102,INV3366,16654,Bank Transfer,22325,8477,None
2024-10-08,Sales,Zenith Corp,EMP102,INV3001,14000,Bank Transfer,39658,4102,Duplicate Invoice
2023-03-30,Marketing,Delta Services,EMP102,INV2841,19711,Bank Transfer,32241,6896,None
2024-06-01,Sales,Delta Services,EMP103,INV2414,14628,Card,31997,6629,Vendor Kickback
2025-05-29,HR,Zenith Corp,EMP104,INV3714,12742,Cash,48395,4616,None
2023-03-09,Finance,Delta Services,EMP999,INV3007,3897,Cash,36502,14994,Ghost Employee
2024-09-05,Operations,Delta Services,EMP107,INV3361,14304,Bank Transfer,53802,7531,None
2024-08-13,Sales,Delta Services,EMP104,INV2679,2220,Cash,45587,8028,None
2024-11-06,IT,Alpha Supplies,EMP104,INV3983,19514,Card,50848,5396,None
2023-10-24,Marketing,Rapid Parts,EMP101,INV3567,2454,Cash,12024,7003,None
2025-02-02,Finance,Rapid Parts,EMP106,INV3258,11165,Card,16618,5323,None
2025-04-02,Finance,Delta Services,EMP999,INV2038,12646,Cash,27742,13487,Ghost Employee
2024-11-28,Operations,Rapid Parts,EMP101,INV2319,32982,Cash,18768,9221,Large Cash Payment
2025-02-07,Sales,Beta Traders,EMP104,INV3659,5540,Bank Transfer,25015,8033,None
2025-02-23,IT,Beta Traders,EMP107,INV3704,17593,Card,18479,8370,None
2025-05-19,IT,Rapid Parts,EMP105,INV3238,8745,Cash,22023,11893,None
2024-11-20,Marketing,Zenith Corp,EMP101,INV2627,706,Cash,16433,8292,None
2024-03-29,Operations,Delta Services,EMP103,INV2331,6393,Cash,14811,6397,Vendor Kickback
2024-04-09,IT,Rapid Parts,EMP101,INV2239,15232,Card,36010,3509,None
2025-03-14,Operations,Delta Services,EMP105,INV3795,4668,Card,14391,9308,None
2023-11-30,Marketing,Delta Services,EMP103,INV2621,16249,Card,50796,9223,None
2025-06-02,IT,Delta Services,EMP999,INV2211,13445,Cash,42897,12132,Ghost Employee
2025-05-05,IT,Zenith Corp,EMP103,INV3140,4547,Card,35715,4380,None
2024-04-01,Operations,Zenith Corp,EMP104,INV3253,16163,Card,21355,5276,None
2025-03-28,Finance,Alpha Supplies,EMP103,INV3794,12762,Cash,37987,6500,None
2025-01-18,HR,Alpha Supplies,EMP101,INV2768,10663,Bank Transfer,37176,6322,None
2024-03-19,Sales,Gamma Logistics,EMP104,INV2631,2755,Bank Transfer,17527,11500,None
2023-12-26,HR,Om Industrial,EMP104,INV3923,8359,Bank Transfer,45569,11310,None
2025-01-18,IT,Delta Services,EMP101,INV2423,17246,Card,20431,3879,None
2024-05-25,IT,Zenith Corp,EMP103,INV3091,13913,Card,12788,4257,None
2023-06-06,HR,Om Industrial,EMP107,INV2137,12344,Cash,46262,5320,None
2025-05-31,HR,Rapid Parts,EMP104,INV2760,9648,Card,25265,10302,None
2025-01-02,Marketing,Gamma Logistics,EMP107,INV3561,13368,Card,22493,4067,None
2025-04-08,Operations,Alpha Supplies,EMP105,INV3001,14000,Cash,10844,8225,Duplicate Invoice
2024-05-26,HR,Beta Traders,EMP105,INV2426,10286,Bank Transfer,46769,8734,None
2024-01-23,Sales,Alpha Supplies,EMP107,INV3206,1475,Card,55384,11933,None
2025-03-13,Finance,Rapid Parts,EMP105,INV2074,16534,Bank Transfer,24294,10693,None
2024-12-05,HR,Zenith Corp,EMP102,INV2583,7250,Cash,42226,11767,None
2023-04-09,HR,Gamma Logistics,EMP103,INV2300,19426,Bank Transfer,37127,5833,None
