id,question,answer,category
585,"What is the company policy on remote check-in for contract employees in our remote work framework, scenario #688?",Remote employees must attend a team check-in at 9:00 AM on every Friday.,Remote Work
586,"What is the company policy on usb policy for full-time employees in the it & security framework, scenario #3344?",Use of personal USB devices on company systems is prohibited unless approved for up to 2 days.,IT & Security
587,"What is the company policy on attendance impact for support employees in the performance management framework, scenario #6035?",Unresolved attendance issues over 12 instances in a quarter may affect performance discussions.,Performance Management
588,"What is the company policy on paternity leave for intern employees in the leave policy framework, scenario #8647?",Eligible employees may take 30 working days of paternity leave within 3 days of childbirth or adoption.,Leave Policy
589,"What is the company policy on unpaid leave for managerial employees in the leave policy framework, scenario #3950?",Unpaid leave beyond regular entitlement may be granted for up to 16 working days with management approval.,Leave Policy
590,"What is the company policy on respectful behavior for probationary employees in the code of conduct framework, scenario #9922?","Abusive or threatening conduct toward colleagues, customers, or vendors is prohibited.",Code of Conduct
591,"What is the company policy on retirement plan for support employees in our benefits framework, scenario #1655?",The company contributes 12% of basic salary toward eligible retirement benefits where applicable.,Benefits
592,"What is the company policy on remote eligibility for contract employees in our remote work framework, scenario #1951?",contract employees may work remotely up to 27 days per week subject to role suitability.,Remote Work
593,"What is the company policy on probation review for full-time employees in the performance management framework, scenario #128?",Probation confirmation review takes place around the 19th month of employment.,Performance Management
594,"What is the company policy on travel advance for engineering employees in our travel policy framework, scenario #5289?",Travel advance requests must be raised at least 12 working days before the trip.,Travel Policy
595,"What is the company policy on intern conversion for intern employees in our recruitment framework, scenario #7192?",Intern-to-full-time conversion is evaluated during the final 25 weeks of internship.,Recruitment
596,"What is the company policy on bonus payout for sales employees in the compensation framework, scenario #8002?","Annual performance bonus, where applicable, is paid in April after review completion.",Compensation
597,"What is the company policy on bereavement leave for managerial employees in the leave policy framework, scenario #5796?",Employees may take 7 working days of bereavement leave for immediate family members.,Leave Policy
598,"What is the company policy on core hours for engineering employees in the attendance framework, scenario #9146?",Employees on flexible schedules must be available during core hours from 10:00 AM to 6:00 AM.,Attendance
599,"What is the company policy on resignation notice for contract employees in the separation framework, scenario #3254?",Notice period for contract employees is 21 days unless the contract states otherwise.,Separation
600,"What is the company policy on buyout policy for support employees in our separation framework, scenario #7934?",Notice buyout may be allowed for up to 17 days subject to management approval.,Separation
601,"What is the company policy on data classification for managerial employees in our it & security framework, scenario #5332?",Documents classified as Highly Sensitive may only be shared with authorized recipients.,IT & Security
602,"What is the company policy on overtime pay for probationary employees in the compensation framework, scenario #6702?",Eligible employees receive overtime at 1.5x the hourly rate for approved extra hours.,Compensation
603,"What is the company policy on comp-off for engineering employees in the leave policy framework, scenario #5055?",Compensatory off earned for approved extra work must be used within 25 days of accrual.,Leave Policy
604,"What is the company policy on respectful behavior for intern employees in the code of conduct framework, scenario #807?","Abusive or threatening conduct toward colleagues, customers, or vendors is prohibited.",Code of Conduct
605,"What is the company policy on usb policy for support employees in the it & security framework, scenario #8217?",Use of personal USB devices on company systems is prohibited unless approved for up to 12 days.,IT & Security
606,"What is the company policy on candidate travel for full-time employees in our recruitment framework, scenario #331?",Interview travel reimbursement must be claimed within 2 days of the interview date.,Recruitment
607,"What is the company policy on comp-off for support employees in our leave policy framework, scenario #6170?",Compensatory off earned for approved extra work must be used within 20 days of accrual.,Leave Policy
608,"What is the company policy on education support for sales employees in the benefits framework, scenario #7410?",Job-related certification reimbursement is capped at ₹25000 per year after manager approval.,Benefits
609,"What is the company policy on relocation support for engineering employees in the compensation framework, scenario #2316?",Relocation assistance up to ₹3000 is available for approved transfers subject to bills within 1 days.,Compensation
610,"What is the company policy on medical fitness for intern employees in the recruitment framework, scenario #4394?",Roles requiring medical fitness clearance must complete the process within 27 days of offer acceptance.,Recruitment
611,"What is the company policy on visitor policy for managerial employees in the workplace & facilities framework, scenario #8519?",Visitors must be registered at reception and hosted by an employee at all times.,Workplace & Facilities
612,"What is the company policy on parking policy for full-time employees in our workplace & facilities framework, scenario #4442?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 6th.,Workplace & Facilities
613,"What is the company policy on screen lock for sales employees in the it & security framework, scenario #8592?",Devices must auto-lock after 20 minutes of inactivity.,IT & Security
614,"What is the company policy on emergency drill for contract employees in our workplace & facilities framework, scenario #9740?",Employees must participate in at least 1 emergency drill(s) per year where scheduled.,Workplace & Facilities
615,"What is the company policy on home office for engineering employees in the remote work framework, scenario #9710?",The company reimburses up to ₹500000 once every 12 months for approved home-office items.,Remote Work
616,"What is the company policy on home office for sales employees in the remote work framework, scenario #3547?",The company reimburses up to ₹5000 once every 24 months for approved home-office items.,Remote Work
617,"What is the company policy on biometric use for full-time employees in the attendance framework, scenario #9178?",Biometric attendance is mandatory for all on-site employees except those specifically exempted by HR for up to 5 days.,Attendance
618,"What is the company policy on rehire policy for sales employees in the recruitment framework, scenario #9141?","Former employees may be considered for rehire after a cooling period of 25 months, subject to records review.",Recruitment
619,"What is the company policy on intern conversion for engineering employees in the recruitment framework, scenario #92?",Intern-to-full-time conversion is evaluated during the final 6 weeks of internship.,Recruitment
620,"What is the company policy on local travel for full-time employees in the travel policy framework, scenario #7714?",Local travel claims must be submitted within 11 days and supported by receipts where required.,Travel Policy
621,"What is the company policy on travel insurance for probationary employees in the travel policy framework, scenario #5149?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
622,"What is the company policy on attendance correction for engineering employees in the attendance framework, scenario #2828?",Attendance correction requests must be submitted within 9 calendar days of the missed punch.,Attendance
623,"What is the company policy on harassment reporting for support employees in our code of conduct framework, scenario #1445?",Workplace harassment concerns should be reported within 9 days to HR or the designated committee.,Code of Conduct
624,"What is the company policy on late coming for engineering employees in the attendance framework, scenario #5088?",Employees arriving more than 6 minutes late on 12 occasions in a month may receive attendance counseling.,Attendance
625,"What is the company policy on carry forward for contract employees in the leave policy framework, scenario #8027?","Up to 23 unused annual leave days may be carried forward, subject to manager approval by May.",Leave Policy
626,"What is the company policy on attendance impact for contract employees in the performance management framework, scenario #8410?",Unresolved attendance issues over 12 instances in a quarter may affect performance discussions.,Performance Management
627,"What is the company policy on salary advance for probationary employees in our compensation framework, scenario #130?",Salary advance of up to ₹5000 may be granted in special cases and recovered over 7 months.,Compensation
628,"What is the company policy on device security for probationary employees in our remote work framework, scenario #7760?",Company laptops used remotely must be locked after 16 minutes of inactivity and protected with approved security software.,Remote Work
629,"What is the company policy on salary advance for support employees in the compensation framework, scenario #4925?",Salary advance of up to ₹10000 may be granted in special cases and recovered over 24 months.,Compensation
630,"What is the company policy on weekend stay for engineering employees in the travel policy framework, scenario #2820?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
631,"What is the company policy on retirement plan for support employees in the benefits framework, scenario #7739?",The company contributes 12% of basic salary toward eligible retirement benefits where applicable.,Benefits
632,"What is the company policy on garden leave for support employees in our separation framework, scenario #9609?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
633,"What is the company policy on maternity leave for engineering employees in our leave policy framework, scenario #7134?",Eligible employees may take 29 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
634,"What is the company policy on shift allowance for contract employees in our attendance framework, scenario #1354?",Employees assigned to the night shift receive a shift allowance of ₹2000 per shift.,Attendance
635,"What is the company policy on goal setting for engineering employees in the performance management framework, scenario #9890?",Employees must finalize annual goals within 21 days of the performance cycle start.,Performance Management
636,"What is the company policy on asset misuse for engineering employees in the code of conduct framework, scenario #8437?",Misuse of company property may result in recovery of costs and disciplinary action.,Code of Conduct
637,"What is the company policy on travel insurance for full-time employees in our travel policy framework, scenario #2929?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
638,"What is the company policy on meal benefit for sales employees in the benefits framework, scenario #8085?",Eligible employees receive meal benefit support of up to ₹50000 per month.,Benefits
639,"What is the company policy on joining extension for managerial employees in our recruitment framework, scenario #6566?",Joining date extensions up to 12 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
640,"What is the company policy on casual leave for probationary employees in the leave policy framework, scenario #4536?",Casual leave entitlement is 24 days per year and should normally be applied for at least 5 working day(s) in advance.,Leave Policy
641,"What is the company policy on password reset for sales employees in the it & security framework, scenario #3627?",Passwords must be changed at least once every 20 days or earlier if compromise is suspected.,IT & Security
642,"What is the company policy on salary payment for sales employees in our compensation framework, scenario #7281?",Monthly salary is credited on the 23rd working day of each month.,Compensation
643,"What is the company policy on remote travel for contract employees in our remote work framework, scenario #4782?",Remote work while on personal travel is permitted for up to 28 working days per quarter with manager approval.,Remote Work
644,"What is the company policy on training link for contract employees in the performance management framework, scenario #6484?",Completion of mandatory learning may influence performance compliance if overdue by more than 22 days.,Performance Management
645,"What is the company policy on joining bonus for contract employees in our compensation framework, scenario #3689?",Joining bonus recovery applies if the employee leaves within 4 months of joining.,Compensation
646,"What is the company policy on candidate travel for contract employees in our recruitment framework, scenario #6853?",Interview travel reimbursement must be claimed within 25 days of the interview date.,Recruitment
647,"What is the company policy on offer validity for probationary employees in the recruitment framework, scenario #2645?",An employment offer is normally valid for 21 calendar days from the issue date.,Recruitment
648,"What is the company policy on substance policy for intern employees in the code of conduct framework, scenario #2898?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
649,"What is the company policy on asset misuse for intern employees in the code of conduct framework, scenario #7185?",Misuse of company property may result in recovery of costs and disciplinary action.,Code of Conduct
650,"What is the company policy on harassment reporting for support employees in the code of conduct framework, scenario #3983?",Workplace harassment concerns should be reported within 10 days to HR or the designated committee.,Code of Conduct
651,"What is the company policy on social media for probationary employees in the code of conduct framework, scenario #2295?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
652,"What is the company policy on camera policy for engineering employees in the remote work framework, scenario #9953?",Video must be enabled during designated collaboration meetings unless connectivity is unstable for more than 10 minutes.,Remote Work
653,"What is the company policy on education support for intern employees in our benefits framework, scenario #8575?",Job-related certification reimbursement is capped at ₹3000 per year after manager approval.,Benefits
654,"What is the company policy on manager feedback for managerial employees in the performance management framework, scenario #3227?",Managers are expected to provide formal feedback at least 28 time(s) per quarter.,Performance Management
655,"What is the company policy on training link for intern employees in the performance management framework, scenario #7318?",Completion of mandatory learning may influence performance compliance if overdue by more than 15 days.,Performance Management
656,"What is the company policy on weekend stay for contract employees in the travel policy framework, scenario #2172?",Extended weekend stay during business travel requires cost comparison and manager approval.,Travel Policy
657,"What is the company policy on email retention for managerial employees in the it & security framework, scenario #1637?",Official email records are retained for approximately 2 months in line with policy.,IT & Security
658,"What is the company policy on data deletion for full-time employees in the it & security framework, scenario #5385?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
659,"What is the company policy on software installation for intern employees in our it & security framework, scenario #8123?","Only approved software may be installed, and requests should be raised through IT at least 17 day(s) in advance.",IT & Security
660,"What is the company policy on internet reimbursement for managerial employees in the remote work framework, scenario #4917?",Remote employees may claim internet reimbursement of up to ₹7500 per month.,Remote Work
661,"What is the company policy on air travel for contract employees in our travel policy framework, scenario #7733?","Employees at level 19 and above may book business class for flights longer than 11 hours, if approved.",Travel Policy
662,"What is the company policy on meal benefit for engineering employees in our benefits framework, scenario #4493?",Eligible employees receive meal benefit support of up to ₹10000 per month.,Benefits
663,"What is the company policy on maternity leave for engineering employees in the leave policy framework, scenario #2629?",Eligible employees may take 7 weeks of maternity leave in line with company policy and applicable law.,Leave Policy
664,"What is the company policy on training link for support employees in our performance management framework, scenario #4657?",Completion of mandatory learning may influence performance compliance if overdue by more than 24 days.,Performance Management
665,"What is the company policy on weekend work for support employees in our attendance framework, scenario #359?",Weekend work requires prior approval from the reporting manager and must be logged within 5 hours.,Attendance
666,"What is the company policy on home office for managerial employees in our remote work framework, scenario #9890?",The company reimburses up to ₹10000 once every 28 months for approved home-office items.,Remote Work
667,"What is the company policy on desk allocation for support employees in our workplace & facilities framework, scenario #4631?",Desk allocation is managed by Facilities and may change based on seating plans and team movement.,Workplace & Facilities
668,"What is the company policy on per diem for probationary employees in the travel policy framework, scenario #5414?",Per diem for approved travel to category-2 locations is ₹1000 per day.,Travel Policy
669,"What is the company policy on short breaks for support employees in our attendance framework, scenario #3652?","Employees may take up to 21 short breaks per day, each not exceeding 10 minutes.",Attendance
670,"What is the company policy on per diem for engineering employees in the travel policy framework, scenario #5366?",Per diem for approved travel to category-1 locations is ₹2500 per day.,Travel Policy
671,"What is the company policy on performance improvement for contract employees in the performance management framework, scenario #6233?",A performance improvement plan usually runs for 22 days with defined review checkpoints.,Performance Management
672,"What is the company policy on leave encashment for support employees in our leave policy framework, scenario #6802?",Employees may encash up to 15 unused leave days at year-end if approved by HR and Finance.,Leave Policy
673,"What is the company policy on joining bonus for sales employees in our compensation framework, scenario #4927?",Joining bonus recovery applies if the employee leaves within 3 months of joining.,Compensation
674,"What is the company policy on salary revision for full-time employees in the compensation framework, scenario #1003?",Salary revisions are normally effective from August based on performance and business conditions.,Compensation
675,"What is the company policy on air travel for support employees in the travel policy framework, scenario #5015?","Employees at level 28 and above may book business class for flights longer than 12 hours, if approved.",Travel Policy
676,"What is the company policy on intern conversion for full-time employees in the recruitment framework, scenario #1641?",Intern-to-full-time conversion is evaluated during the final 30 weeks of internship.,Recruitment
677,"What is the company policy on bereavement leave for probationary employees in our leave policy framework, scenario #2101?",Employees may take 29 working days of bereavement leave for immediate family members.,Leave Policy
678,"What is the company policy on reward nomination for managerial employees in our performance management framework, scenario #1725?",Spot award nominations should be submitted within 12 days of the recognized contribution.,Performance Management
679,"What is the company policy on joining bonus for managerial employees in the compensation framework, scenario #235?",Joining bonus recovery applies if the employee leaves within 9 months of joining.,Compensation
680,"What is the company policy on remote eligibility for engineering employees in the remote work framework, scenario #4577?",engineering employees may work remotely up to 27 days per week subject to role suitability.,Remote Work
681,"What is the company policy on leave balance payout for sales employees in the separation framework, scenario #1550?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
682,"What is the company policy on travel allowance for sales employees in the compensation framework, scenario #3256?",Domestic business travel provides a daily allowance of ₹1200 for meals and local transport.,Compensation
683,"What is the company policy on meeting room for full-time employees in the workplace & facilities framework, scenario #8861?",Meeting rooms should be released if unused for more than 17 minutes after booking time.,Workplace & Facilities
684,"What is the company policy on visa expense for support employees in our travel policy framework, scenario #3421?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
685,"What is the company policy on clean desk for contract employees in the workplace & facilities framework, scenario #4526?",Employees must clear sensitive papers from desks before leaving for the day.,Workplace & Facilities
686,"What is the company policy on device security for managerial employees in our remote work framework, scenario #2046?",Company laptops used remotely must be locked after 4 minutes of inactivity and protected with approved security software.,Remote Work
687,"What is the company policy on data deletion for engineering employees in our it & security framework, scenario #3681?",Data deletion requests involving employee records must follow approved retention schedules and authorization steps.,IT & Security
688,"What is the company policy on vpn usage for managerial employees in our it & security framework, scenario #1362?",Remote access to internal systems must use the company VPN for all sessions involving restricted data.,IT & Security
689,"What is the company policy on sick leave for managerial employees in the leave policy framework, scenario #9432?","Sick leave entitlement is 23 days per year, and medical proof is required after 8 consecutive days of absence.",Leave Policy
690,"What is the company policy on late coming for support employees in the attendance framework, scenario #396?",Employees arriving more than 25 minutes late on 4 occasions in a month may receive attendance counseling.,Attendance
691,"What is the company policy on experience letter for managerial employees in the separation framework, scenario #3431?",Experience and relieving letters are issued after clearance completion and payroll closure.,Separation
692,"What is the company policy on mfa requirement for contract employees in our it & security framework, scenario #8147?",Multi-factor authentication is mandatory for access to all critical systems.,IT & Security
693,"What is the company policy on exit interview for managerial employees in our separation framework, scenario #9174?",Employees are expected to complete the exit interview within 25 working days before their last working day.,Separation
694,"What is the company policy on data classification for probationary employees in the it & security framework, scenario #5306?",Documents classified as Internal may only be shared with authorized recipients.,IT & Security
695,"What is the company policy on travel allowance for contract employees in the compensation framework, scenario #341?",Domestic business travel provides a daily allowance of ₹3000 for meals and local transport.,Compensation
696,"What is the company policy on travel insurance for intern employees in our travel policy framework, scenario #3846?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
697,"What is the company policy on reward nomination for intern employees in our performance management framework, scenario #4410?",Spot award nominations should be submitted within 12 days of the recognized contribution.,Performance Management
698,"What is the company policy on domestic travel for support employees in the travel policy framework, scenario #4524?",Domestic travel should normally be booked at least 15 days in advance unless there is a business emergency.,Travel Policy
699,"What is the company policy on local travel for managerial employees in the travel policy framework, scenario #8842?",Local travel claims must be submitted within 29 days and supported by receipts where required.,Travel Policy
700,"What is the company policy on knowledge transfer for engineering employees in the separation framework, scenario #484?",Knowledge transfer plan must be completed at least 11 working days before exit for critical roles.,Separation
701,"What is the company policy on rehire restriction for probationary employees in our separation framework, scenario #4129?",Employees separated for misconduct may not be eligible for rehire under company policy.,Separation
702,"What is the company policy on conflict of interest for intern employees in the code of conduct framework, scenario #2761?",Potential conflicts of interest must be disclosed within 6 days of becoming known.,Code of Conduct
703,"What is the company policy on comp-off for sales employees in our leave policy framework, scenario #9405?",Compensatory off earned for approved extra work must be used within 1 days of accrual.,Leave Policy
704,"What is the company policy on remote travel for managerial employees in the remote work framework, scenario #8154?",Remote work while on personal travel is permitted for up to 23 working days per quarter with manager approval.,Remote Work
705,"What is the company policy on relocation support for support employees in our compensation framework, scenario #682?",Relocation assistance up to ₹10000 is available for approved transfers subject to bills within 5 days.,Compensation
706,"What is the company policy on review frequency for probationary employees in our performance management framework, scenario #7130?",Performance reviews are conducted half-yearly and documented in the HR system.,Performance Management
707,"What is the company policy on background check for engineering employees in our recruitment framework, scenario #786?",Employment is subject to satisfactory background verification completed within approximately 16 weeks.,Recruitment
708,"What is the company policy on password reset for engineering employees in the it & security framework, scenario #3631?",Passwords must be changed at least once every 2 days or earlier if compromise is suspected.,IT & Security
709,"What is the company policy on meeting room for intern employees in our workplace & facilities framework, scenario #6586?",Meeting rooms should be released if unused for more than 3 minutes after booking time.,Workplace & Facilities
710,"What is the company policy on casual leave for sales employees in our leave policy framework, scenario #9833?",Casual leave entitlement is 5 days per year and should normally be applied for at least 10 working day(s) in advance.,Leave Policy
711,"What is the company policy on carry forward for intern employees in our leave policy framework, scenario #4667?","Up to 2 unused annual leave days may be carried forward, subject to manager approval by March.",Leave Policy
712,"What is the company policy on email retention for probationary employees in the it & security framework, scenario #3747?",Official email records are retained for approximately 10 months in line with policy.,IT & Security
713,"What is the company policy on carry forward for support employees in the leave policy framework, scenario #5593?","Up to 6 unused annual leave days may be carried forward, subject to manager approval by April.",Leave Policy
714,"What is the company policy on accident cover for full-time employees in the benefits framework, scenario #7218?",Accident insurance cover of ₹2500 is provided for employees on company rolls.,Benefits
715,"What is the company policy on core hours for contract employees in the attendance framework, scenario #2351?",Employees on flexible schedules must be available during core hours from 9:00 AM to 7:00 PM.,Attendance
716,"What is the company policy on core hours for full-time employees in our attendance framework, scenario #6337?",Employees on flexible schedules must be available during core hours from 7:00 PM to 5:00 PM.,Attendance
717,"What is the company policy on social media for managerial employees in our code of conduct framework, scenario #344?",Employees must not disclose confidential company information on social media at any time.,Code of Conduct
718,"What is the company policy on joining extension for intern employees in our recruitment framework, scenario #7595?",Joining date extensions up to 5 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
719,"What is the company policy on probation review for intern employees in the performance management framework, scenario #6437?",Probation confirmation review takes place around the 11th month of employment.,Performance Management
720,"What is the company policy on remote travel for support employees in the remote work framework, scenario #6324?",Remote work while on personal travel is permitted for up to 4 working days per quarter with manager approval.,Remote Work
721,"What is the company policy on hotel cap for support employees in the travel policy framework, scenario #1071?",Hotel reimbursement is capped at ₹1500 per night for travel to tier-3 cities.,Travel Policy
722,"What is the company policy on working hours for engineering employees in our attendance framework, scenario #2871?",Standard working hours are 6:00 PM to 6:00 PM with a 60-minute meal break.,Attendance
723,"What is the company policy on retirement plan for contract employees in the benefits framework, scenario #7290?",The company contributes 12% of basic salary toward eligible retirement benefits where applicable.,Benefits
724,"What is the company policy on working hours for managerial employees in our attendance framework, scenario #1393?",Standard working hours are 9:00 AM to 4:30 PM with a 60-minute meal break.,Attendance
725,"What is the company policy on goal setting for support employees in the performance management framework, scenario #5984?",Employees must finalize annual goals within 6 days of the performance cycle start.,Performance Management
726,"What is the company policy on wellness benefit for managerial employees in the benefits framework, scenario #5455?",Employees may claim wellness reimbursement of up to ₹300000 per year for approved activities.,Benefits
727,"What is the company policy on password reset for full-time employees in our it & security framework, scenario #8399?",Passwords must be changed at least once every 5 days or earlier if compromise is suspected.,IT & Security
728,"What is the company policy on rehire policy for sales employees in the recruitment framework, scenario #1754?","Former employees may be considered for rehire after a cooling period of 23 months, subject to records review.",Recruitment
729,"What is the company policy on salary revision for intern employees in the compensation framework, scenario #921?",Salary revisions are normally effective from March based on performance and business conditions.,Compensation
730,"What is the company policy on canteen subsidy for probationary employees in our workplace & facilities framework, scenario #3233?",Eligible employees receive canteen subsidy of ₹1000 per working day.,Workplace & Facilities
731,"What is the company policy on emergency drill for sales employees in the workplace & facilities framework, scenario #1242?",Employees must participate in at least 20 emergency drill(s) per year where scheduled.,Workplace & Facilities
732,"What is the company policy on bonus payout for support employees in our compensation framework, scenario #2643?","Annual performance bonus, where applicable, is paid in March after review completion.",Compensation
733,"What is the company policy on working hours for full-time employees in our attendance framework, scenario #5228?",Standard working hours are 7:00 PM to 5:00 PM with a 60-minute meal break.,Attendance
734,"What is the company policy on substance policy for sales employees in our code of conduct framework, scenario #6607?",Reporting to work under the influence of prohibited substances may lead to disciplinary action.,Code of Conduct
735,"What is the company policy on investigation cooperation for support employees in the code of conduct framework, scenario #9715?",Employees are required to cooperate with internal investigations and provide information within 15 working days when requested.,Code of Conduct
736,"What is the company policy on remote availability for contract employees in our remote work framework, scenario #7092?",Employees working remotely must be reachable between 10:00 AM and 7:00 PM on official communication channels.,Remote Work
737,"What is the company policy on document submission for probationary employees in the recruitment framework, scenario #5047?",New hires must submit all joining documents within 16 working days of the start date.,Recruitment
738,"What is the company policy on exit interview for support employees in our separation framework, scenario #6833?",Employees are expected to complete the exit interview within 11 working days before their last working day.,Separation
739,"What is the company policy on joining bonus for managerial employees in the compensation framework, scenario #8006?",Joining bonus recovery applies if the employee leaves within 11 months of joining.,Compensation
740,"What is the company policy on travel insurance for probationary employees in the travel policy framework, scenario #4526?",Travel insurance is mandatory for all approved international business trips.,Travel Policy
741,"What is the company policy on canteen subsidy for intern employees in the workplace & facilities framework, scenario #9791?",Eligible employees receive canteen subsidy of ₹100000 per working day.,Workplace & Facilities
742,"What is the company policy on international travel for intern employees in our travel policy framework, scenario #1290?",International travel requires approval from the function head at least 10 working days before departure.,Travel Policy
743,"What is the company policy on training link for support employees in our performance management framework, scenario #278?",Completion of mandatory learning may influence performance compliance if overdue by more than 25 days.,Performance Management
744,"What is the company policy on working hours for engineering employees in the attendance framework, scenario #4636?",Standard working hours are 9:00 AM to 7:00 PM with a 60-minute meal break.,Attendance
745,"What is the company policy on attendance impact for full-time employees in our performance management framework, scenario #5851?",Unresolved attendance issues over 25 instances in a quarter may affect performance discussions.,Performance Management
746,"What is the company policy on goal setting for support employees in the performance management framework, scenario #926?",Employees must finalize annual goals within 14 days of the performance cycle start.,Performance Management
747,"What is the company policy on leave balance payout for full-time employees in our separation framework, scenario #386?",Eligible unused leave payout is calculated according to policy and applicable payroll rules.,Separation
748,"What is the company policy on garden leave for full-time employees in the separation framework, scenario #2495?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
749,"What is the company policy on password reset for engineering employees in our it & security framework, scenario #473?",Passwords must be changed at least once every 30 days or earlier if compromise is suspected.,IT & Security
750,"What is the company policy on whistleblower for intern employees in our code of conduct framework, scenario #5914?",Whistleblower complaints may be made confidentially through the approved reporting channels.,Code of Conduct
751,"What is the company policy on harassment reporting for sales employees in our code of conduct framework, scenario #6403?",Workplace harassment concerns should be reported within 21 days to HR or the designated committee.,Code of Conduct
752,"What is the company policy on hotel cap for sales employees in our travel policy framework, scenario #9308?",Hotel reimbursement is capped at ₹100000 per night for travel to tier-1 cities.,Travel Policy
753,"What is the company policy on home office for intern employees in our remote work framework, scenario #3354?",The company reimburses up to ₹2500 once every 2 months for approved home-office items.,Remote Work
754,"What is the company policy on working hours for probationary employees in the attendance framework, scenario #1068?",Standard working hours are 8:30 AM to 6:00 PM with a 45-minute meal break.,Attendance
755,"What is the company policy on rehire policy for managerial employees in our recruitment framework, scenario #400?","Former employees may be considered for rehire after a cooling period of 1 months, subject to records review.",Recruitment
756,"What is the company policy on full and final settlement for managerial employees in our separation framework, scenario #7476?",Full and final settlement is generally processed within 28 days after separation documentation is complete.,Separation
757,"What is the company policy on asset misuse for contract employees in our code of conduct framework, scenario #5904?",Misuse of company property may result in recovery of costs and disciplinary action.,Code of Conduct
758,"What is the company policy on background check for engineering employees in the recruitment framework, scenario #3373?",Employment is subject to satisfactory background verification completed within approximately 20 weeks.,Recruitment
759,"What is the company policy on office timing for full-time employees in our workplace & facilities framework, scenario #8571?",Office facilities are generally accessible from 8:30 AM to 4:30 PM on business days.,Workplace & Facilities
760,"What is the company policy on garden leave for support employees in our separation framework, scenario #3963?",Garden leave may be applied during notice period based on business sensitivity and approval.,Separation
761,"What is the company policy on joining extension for probationary employees in the recruitment framework, scenario #6913?",Joining date extensions up to 27 days may be approved by Talent Acquisition and the hiring manager.,Recruitment
762,"What is the company policy on manager feedback for support employees in our performance management framework, scenario #7760?",Managers are expected to provide formal feedback at least 1 time(s) per quarter.,Performance Management
763,"What is the company policy on probation length for engineering employees in our recruitment framework, scenario #6224?",Standard probation period is 25 months unless otherwise stated in the appointment letter.,Recruitment
764,"What is the company policy on meeting room for engineering employees in our workplace & facilities framework, scenario #1133?",Meeting rooms should be released if unused for more than 8 minutes after booking time.,Workplace & Facilities
765,"What is the company policy on data classification for full-time employees in our it & security framework, scenario #1797?",Documents classified as Internal may only be shared with authorized recipients.,IT & Security
766,"What is the company policy on exit interview for managerial employees in the separation framework, scenario #7286?",Employees are expected to complete the exit interview within 27 working days before their last working day.,Separation
767,"What is the company policy on parking policy for full-time employees in our workplace & facilities framework, scenario #1097?",Limited parking slots are allotted on a priority basis and may require monthly renewal by the 4th.,Workplace & Facilities
768,"What is the company policy on late coming for support employees in our attendance framework, scenario #7830?",Employees arriving more than 9 minutes late on 11 occasions in a month may receive attendance counseling.,Attendance
769,"What is the company policy on short breaks for full-time employees in our attendance framework, scenario #9595?","Employees may take up to 19 short breaks per day, each not exceeding 7 minutes.",Attendance
770,"What is the company policy on password reset for managerial employees in the it & security framework, scenario #2081?",Passwords must be changed at least once every 10 days or earlier if compromise is suspected.,IT & Security
771,"What is the company policy on data classification for probationary employees in our it & security framework, scenario #454?",Documents classified as Internal may only be shared with authorized recipients.,IT & Security
772,"What is the company policy on expense reimbursement for contract employees in the compensation framework, scenario #9203?",Approved expense claims must be submitted within 13 days of the expense date.,Compensation
773,"What is the company policy on short breaks for sales employees in our attendance framework, scenario #5523?","Employees may take up to 25 short breaks per day, each not exceeding 11 minutes.",Attendance
774,"What is the company policy on weekend work for probationary employees in our attendance framework, scenario #3144?",Weekend work requires prior approval from the reporting manager and must be logged within 11 hours.,Attendance
775,"What is the company policy on reward nomination for support employees in the performance management framework, scenario #4776?",Spot award nominations should be submitted within 22 days of the recognized contribution.,Performance Management
776,"What is the company policy on asset return for managerial employees in the separation framework, scenario #6170?",All company assets must be returned by the last working day or within 7 days if specifically approved.,Separation
777,"What is the company policy on incident reporting for managerial employees in our it & security framework, scenario #7163?",Suspected security incidents must be reported within 1 hour(s) of discovery.,IT & Security
778,"What is the company policy on intern conversion for engineering employees in the recruitment framework, scenario #1826?",Intern-to-full-time conversion is evaluated during the final 4 weeks of internship.,Recruitment
779,"What is the company policy on attendance impact for intern employees in the performance management framework, scenario #2816?",Unresolved attendance issues over 24 instances in a quarter may affect performance discussions.,Performance Management
